Value,Category
Respiratory failure,Respiratory failure
Cardiac arrest,Cardiac arrest
*Unspecified,Unspecified / Other
Sepsis,Sepsis and septic shock
Pneumonia,Pneumonia
DKA (diabetic ketoacidosis),Renal failure or other metabolic problem
Septic shock,Sepsis and septic shock
STEMI (ST elevation myocardial,Acute coronary syndromes
Shock,Sepsis and septic shock
Respiratory failure with hypox,Respiratory failure
CHF (congestive heart failure),Congestive heart failure or other cardiac problem not due to acute ischemia
"Cardiac arrest, unspecified",Cardiac arrest
Acute hypoxemic respiratory fa,Respiratory failure
Altered level of consciousness,"Encephalopathy, neuropathy, or seizures"
COPD exacerbation,Respiratory failure
Stroke,Ischemic and hemorrhagic stroke
Seizure,"Encephalopathy, neuropathy, or seizures"
Hypoxia,Respiratory failure
AKI (acute kidney injury),Renal failure or other metabolic problem
Overdose,Overdose / substance abuse
Hypotension,Sepsis and septic shock
ICH (intracerebral hemorrhage),Ischemic and hemorrhagic stroke
COVID,Pneumonia
Small bowel obstruction,Hepatobiliary or abdominal
"Respiratory failure, unspecifi",Respiratory failure
Lung cancer,Cancer
"Acute respiratory failure, typ",Respiratory failure
GIB (gastrointestinal bleeding,Bleeding
COVID-19,Pneumonia
Bradycardia,Congestive heart failure or other cardiac problem not due to acute ischemia
NSTEMI (non-ST elevated myocar,Acute coronary syndromes
Perforated viscus,Hepatobiliary or abdominal
Cardiogenic shock,Congestive heart failure or other cardiac problem not due to acute ischemia
Hyponatremia,Renal failure or other metabolic problem
Aspiration pneumonia,Pneumonia
COPD (chronic obstructive pulm,Respiratory failure
GI bleed,Bleeding
Pneumonia due to COVID-19 viru,Pneumonia
Pulmonary embolism,Congestive heart failure or other cardiac problem not due to acute ischemia
Upper GI bleed,Bleeding
Intracranial hemorrhage,Ischemic and hemorrhagic stroke
SOB (shortness of breath),Respiratory failure
Status epilepticus,"Encephalopathy, neuropathy, or seizures"
Complete heart block,Congestive heart failure or other cardiac problem not due to acute ischemia
Decreased level of consciousne,"Encephalopathy, neuropathy, or seizures"
UGIB (upper gastrointestinal b,Bleeding
AAA (abdominal aortic aneurysm,Peripheral vascular disease
Congestive heart failure,Congestive heart failure or other cardiac problem not due to acute ischemia
Ischemic stroke,Ischemic and hemorrhagic stroke
PVD (peripheral vascular disea,Peripheral vascular disease
Pancreatitis,Hepatobiliary or abdominal
ACS (acute coronary syndrome),Acute coronary syndromes
"Goals of care, counseling/disc",Unspecified / Other
Hypercapnic respiratory failur,Respiratory failure
Heart failure,Congestive heart failure or other cardiac problem not due to acute ischemia
Abdominal aortic aneurysm,Hepatobiliary or abdominal
Anemia,Bleeding
Bacteremia,Sepsis and septic shock
Dyspnea,Respiratory failure
Intracerebral hemorrhage,Ischemic and hemorrhagic stroke
Acute cholecystitis,Hepatobiliary or abdominal
Discharge planning issues,Unspecified / Other
Fever,Sepsis and septic shock
Hip fracture,Trauma
On mechanically assisted venti,Respiratory failure
ARDS (adult respiratory distre,Respiratory failure
Abdominal pain,Hepatobiliary or abdominal
Acute respiratory distress syn,Respiratory failure
Colon cancer,Cancer
Esophageal adenocarcinoma,Cancer
Hemoptysis,Respiratory failure
"Hip fracture, right",Trauma
Hypoxemia,Respiratory failure
Seizures,"Encephalopathy, neuropathy, or seizures"
Acute renal failure,Renal failure or other metabolic problem
Aortic aneurysm and dissection,Peripheral vascular disease
Asthma exacerbation,Respiratory failure
Cirrhosis,Hepatobiliary or abdominal
Congestive heart failure (CHF),Congestive heart failure or other cardiac problem not due to acute ischemia
Diabetic ketoacidosis,Renal failure or other metabolic problem
ESRD on hemodialysis,Renal failure or other metabolic problem
HFrEF (heart failure with redu,Congestive heart failure or other cardiac problem not due to acute ischemia
"Hip fracture, left",Trauma
MSSA bacteremia,Sepsis and septic shock
Metabolic acidosis,Renal failure or other metabolic problem
Necrotizing fasciitis,Sepsis and septic shock
Perforated bowel,Hepatobiliary or abdominal
Seizure disorder,"Encephalopathy, neuropathy, or seizures"
Spinal stenosis of lumbar regi,Trauma
Ventricular tachycardia,Congestive heart failure or other cardiac problem not due to acute ischemia
(HFpEF) heart failure with pre,Congestive heart failure or other cardiac problem not due to acute ischemia
Acute respiratory failure,Respiratory failure
Diverticulitis,Hepatobiliary or abdominal
Gram negative sepsis,Sepsis and septic shock
Lactic acidosis,Sepsis and septic shock
Peripheral vascular disease,Peripheral vascular disease
Peritonitis,Sepsis and septic shock
Physical deconditioning,Unspecified / Other
Pleural effusion,Respiratory failure
Renal failure,Renal failure or other metabolic problem
Severe hypoxemia,Respiratory failure
Subarachnoid hemorrhage,Ischemic and hemorrhagic stroke
Subdural hematoma,Ischemic and hemorrhagic stroke
UTI (urinary tract infection),Sepsis and septic shock
Ventricular fibrillation,Cardiac arrest
Acute ischemic stroke,Ischemic and hemorrhagic stroke
Acute kidney injury,Renal failure or other metabolic problem
Altered mental status,"Encephalopathy, neuropathy, or seizures"
Anoxic brain injury,"Encephalopathy, neuropathy, or seizures"
"Aortic aneurysm, abdominal",Peripheral vascular disease
Aortic dissection,Peripheral vascular disease
Aspiration pneumonitis,Respiratory failure
Atrial fibrillation with rapid,Congestive heart failure or other cardiac problem not due to acute ischemia
Cellulitis,Sepsis and septic shock
Delirium,"Encephalopathy, neuropathy, or seizures"
Drug overdose,Overdose / substance abuse
Duodenal ulcer,Bleeding
Duodenal ulcer perforation,Bleeding
Encephalopathy,"Encephalopathy, neuropathy, or seizures"
Enterocolitis due to Clostridi,Sepsis and septic shock
Epiglottitis,Respiratory failure
Esophageal cancer,Cancer
Febrile neutropenia,Sepsis and septic shock
Hyperglycemia,Renal failure or other metabolic problem
Pericardial effusion,Congestive heart failure or other cardiac problem not due to acute ischemia
Respiratory distress,Respiratory failure
"Respiratory failure, acute-on-",Respiratory failure
SBO (small bowel obstruction),Hepatobiliary or abdominal
Traumatic brain injury,Trauma
Weakness,Unspecified / Other
Acute on chronic renal failure,Renal failure or other metabolic problem
Acute respiratory failure with,Respiratory failure
Acute upper GI bleed,Bleeding
Altered consciousness,Peripheral vascular disease
Aortic aneurysm,Peripheral vascular disease
Bowel obstruction,Hepatobiliary or abdominal
CHF exacerbation,Congestive heart failure or other cardiac problem not due to acute ischemia
CVA (cerebral vascular acciden,Ischemic and hemorrhagic stroke
Cardiomyopathy,Congestive heart failure or other cardiac problem not due to acute ischemia
Clinical diagnosis of COVID-19,Pneumonia
Comfort measures only status,Unspecified / Other
Community acquired pneumonia,Pneumonia
ESRD (end stage renal disease),Renal failure or other metabolic problem
"Hematuria, gross",Bleeding
Hemorrhagic shock,Bleeding
Hemorrhagic stroke,Ischemic and hemorrhagic stroke
"Hypotension, unspecified",Sepsis and septic shock
ILD (interstitial lung disease,Respiratory failure
Ischemic bowel disease,Peripheral vascular disease
Myasthenia gravis,"Encephalopathy, neuropathy, or seizures"
Necrotizing cellulitis,Sepsis and septic shock
Oesophageal varices with bleed,Bleeding
Pulmonary edema,Respiratory failure
Acute massive pulmonary emboli,Congestive heart failure or other cardiac problem not due to acute ischemia
Acute on chronic respiratory f,Respiratory failure
Acute pancreatitis,Hepatobiliary or abdominal
Adenocarcinoma of esophagus,Cancer
"Adenocarcinoma, lung",Cancer
Arrhythmia,Congestive heart failure or other cardiac problem not due to acute ischemia
Ascending cholangitis,Sepsis and septic shock
Atrial fibrillation,Congestive heart failure or other cardiac problem not due to acute ischemia
Bowel perforation,Hepatobiliary or abdominal
CAD (coronary artery disease),Acute coronary syndromes
Cholecystitis,Hepatobiliary or abdominal
Cirrhosis of liver,Hepatobiliary or abdominal
Colitis,Hepatobiliary or abdominal
Diabetic foot infection,Sepsis and septic shock
Empyema,Sepsis and septic shock
Guillain Barré syndrome,"Encephalopathy, neuropathy, or seizures"
Heart block,Congestive heart failure or other cardiac problem not due to acute ischemia
Hypoglycemia,Renal failure or other metabolic problem
Infective endocarditis,Sepsis and septic shock
"Ischemia, bowel",Peripheral vascular disease
Large bowel obstruction,Hepatobiliary or abdominal
Liver failure,Hepatobiliary or abdominal
Lower GI bleed,Bleeding
Lumbar stenosis,"Encephalopathy, neuropathy, or seizures"
Lung nodule,Cancer
Osteomyelitis,Sepsis and septic shock
PAD (peripheral artery disease,Peripheral vascular disease
Palliative care,Unspecified / Other
RVF (right ventricular failure,Congestive heart failure or other cardiac problem not due to acute ischemia
Renal cell carcinoma,Cancer
Sepsis associated hypotension,Sepsis and septic shock
Staphylococcus aureus bacterem,Sepsis and septic shock
"Status epilepticus, generalize","Encephalopathy, neuropathy, or seizures"
Status post lobectomy of lung,Cancer
Streptococcal infection group,Sepsis and septic shock
Stridor,Respiratory failure
Subarachnoid bleed,Ischemic and hemorrhagic stroke
Subglottic stenosis,Respiratory failure
Syncope,Congestive heart failure or other cardiac problem not due to acute ischemia
Thyroid cancer,Cancer
Upper gastrointestinal bleed,Bleeding
ALS (amyotrophic lateral scler,"Encephalopathy, neuropathy, or seizures"
Acute MI,Trauma
Acute and chronic respiratory,Respiratory failure
Acute ischemic right MCA strok,Ischemic and hemorrhagic stroke
Acute liver failure,Hepatobiliary or abdominal
Acute myocardial infarction,Acute coronary syndromes
Acute-on-chronic kidney injury,Renal failure or other metabolic problem
Alcoholic cirrhosis of liver,Hepatobiliary or abdominal
Anasarca,Congestive heart failure or other cardiac problem not due to acute ischemia
Appendicitis,Hepatobiliary or abdominal
Asthma,Respiratory failure
Bladder cancer,Cancer
Breast reconstruction deformit,Cancer
Candidemia,Sepsis and septic shock
Closed fracture of left hip,Trauma
Coma,"Encephalopathy, neuropathy, or seizures"
Critical lower limb ischemia,Peripheral vascular disease
Diabetic infection of right fo,Sepsis and septic shock
Duodenal ulcer with hemorrhage,Bleeding
Dysphagia,Unspecified / Other
E coli bacteremia,Sepsis and septic shock
Endocarditis,Sepsis and septic shock
Epilepsy,"Encephalopathy, neuropathy, or seizures"
Fall,Trauma
"Femur fracture, right",Trauma
Fungemia,Sepsis and septic shock
Gastrointestinal bleeding,Bleeding
Head injury,Trauma
Hematemesis,Bleeding
History of cardiac arrest,Cardiac arrest
Hyperkalemia,Acute coronary syndromes
Hypoventilation associated wit,Respiratory failure
Ischemic leg,Peripheral vascular disease
Jaundice,Hepatobiliary or abdominal
LOC (loss of consciousness),"Encephalopathy, neuropathy, or seizures"
Lung mass,Cancer
Lymphoma,Cancer
Meningitis,Sepsis and septic shock
NSTEMI (non-ST elevation myoca,Acute coronary syndromes
Non-small cell lung cancer,Cancer
Nontraumatic ischemic infarcti,Peripheral vascular disease
Ovarian cancer,Cancer
Pancytopenia,Cancer
Perforated sigmoid colon,Hepatobiliary or abdominal
Pleural empyema,Pneumonia
Pneumonia due to Streptococcus,Pneumonia
Polysubstance overdose,Overdose / substance abuse
Post-operative state,Unspecified / Other
Primary adenocarcinoma of uppe,Cancer
Psychosis,Unspecified / Other
Pyelonephritis,Sepsis and septic shock
Recurrent aspiration pneumonia,Pneumonia
"Renal failure (ARF), acute on",Renal failure or other metabolic problem
Respiratory arrest,Respiratory failure
Respiratory failure with hyper,Respiratory failure
Shoulder arthritis,Trauma
Subdural bleeding,Ischemic and hemorrhagic stroke
Substance abuse,Overdose / substance abuse
Upper GI bleeding,Bleeding
Urinary retention,Renal failure or other metabolic problem
Urinary tract infection,Sepsis and septic shock
Wide-complex tachycardia,Congestive heart failure or other cardiac problem not due to acute ischemia
A-fib,Congestive heart failure or other cardiac problem not due to acute ischemia
AML (acute myeloblastic leukem,Cancer
Accidental overdose,Overdose / substance abuse
"Acidosis, metabolic",Renal failure or other metabolic problem
Acute alcoholic pancreatitis,Hepatobiliary or abdominal
Acute epiglottitis,Respiratory failure
Acute exacerbation of CHF (con,Congestive heart failure or other cardiac problem not due to acute ischemia
Acute ischemic left MCA stroke,Ischemic and hemorrhagic stroke
Acute kidney failure,Renal failure or other metabolic problem
Acute renal failure superimpos,Renal failure or other metabolic problem
Acute type 1 respiratory failu,Respiratory failure
Agitation,"Encephalopathy, neuropathy, or seizures"
Airway obstruction,Respiratory failure
Alcohol withdrawal,Overdose / substance abuse
Altered mental state,"Encephalopathy, neuropathy, or seizures"
Aneurysm of abdominal vessel,Peripheral vascular disease
Angioedema,Respiratory failure
Aspiration into airway,Respiratory failure
Aspiration into lower respirat,Respiratory failure
Bacteremia due to Streptococcu,Sepsis and septic shock
Bilateral pneumonia,Pneumonia
Bipolar 1 disorder,Unspecified / Other
Bloody diarrhea,Bleeding
Bradyarrhythmia,Congestive heart failure or other cardiac problem not due to acute ischemia
Bronchiectasis,Respiratory failure
C. difficile colitis,Sepsis and septic shock
CAD in native artery,Acute coronary syndromes
CKD (chronic kidney disease),Renal failure or other metabolic problem
COPD with acute exacerbation,Respiratory failure
Calcium channel blocker overdo,Overdose / substance abuse
Cardiac arrhythmia,Congestive heart failure or other cardiac problem not due to acute ischemia
Cellulitis of scrotum,Sepsis and septic shock
Cervical myelopathy,"Encephalopathy, neuropathy, or seizures"
Cervical spinal cord injury,Trauma
Chest pain,Unspecified / Other
Cholangiocarcinoma,Cancer
Cholangitis,Sepsis and septic shock
Choledocholithiasis,Hepatobiliary or abdominal
Closed fracture of right hip,Trauma
Cognitive impairment,"Encephalopathy, neuropathy, or seizures"
Compartment syndrome,Trauma
Dementia,"Encephalopathy, neuropathy, or seizures"
Dental abscess,Sepsis and septic shock
Diabetic keto-acidosis,Renal failure or other metabolic problem
Difficult ventilator weaning,Respiratory failure
Difficulty liberating from mec,Respiratory failure
Difficulty weaning from ventil,Cancer
Distal intestinal obstruction,Hepatobiliary or abdominal
Drug overdoses,Overdose / substance abuse
Electrolyte abnormality,Renal failure or other metabolic problem
Elevated liver enzymes,Hepatobiliary or abdominal
Elevated troponin,Acute coronary syndromes
Encephalitis,"Encephalopathy, neuropathy, or seizures"
Encephalitis due to human herp,"Encephalopathy, neuropathy, or seizures"
End of life care,Unspecified / Other
Epidural abscess,Sepsis and septic shock
Fournier's gangrene,Sepsis and septic shock
Fulminant liver failure,Hepatobiliary or abdominal
GBS (Guillain-Barre syndrome),"Encephalopathy, neuropathy, or seizures"
GI bleeding,Bleeding
Gallstone pancreatitis,Hepatobiliary or abdominal
Gastric cancer,Cancer
Gastrointestinal hemorrhage,Bleeding
Gram negative septic shock,Sepsis and septic shock
Gram-negative bacteremia,Sepsis and septic shock
Heart failure with preserved e,Congestive heart failure or other cardiac problem not due to acute ischemia
Hepatic encephalopathy,"Encephalopathy, neuropathy, or seizures"
Hydrothorax,Respiratory failure
Hypercalcemia,Renal failure or other metabolic problem
Hypernatremia,Renal failure or other metabolic problem
Hyperosmolar hyperglycemic sta,Renal failure or other metabolic problem
Hypertensive emergency,Congestive heart failure or other cardiac problem not due to acute ischemia
Hypoventilation,Respiratory failure
"Hypoxemic respiratory failure,",Respiratory failure
Ileus,Hepatobiliary or abdominal
Incarcerated hernia,Hepatobiliary or abdominal
Incisional hernia,Hepatobiliary or abdominal
Influenza A,Pneumonia
Inhalation injury,Respiratory failure
Intertrochanteric fracture of,Trauma
Intracranial bleed,Ischemic and hemorrhagic stroke
Ischemic cardiomyopathy,Congestive heart failure or other cardiac problem not due to acute ischemia
Liver abscess,Hepatobiliary or abdominal
Mediastinal mass,Cancer
Metastatic cancer,Cancer
Myelopathy,Trauma
Myxedema coma,"Encephalopathy, neuropathy, or seizures"
Neck abscess,Sepsis and septic shock
Neck infection,Sepsis and septic shock
"Necrotizing fasciitis, lower l",Sepsis and septic shock
Nephrotic syndrome,Renal failure or other metabolic problem
Neurologically determined deat,"Encephalopathy, neuropathy, or seizures"
Normal labor and delivery,Unspecified / Other
Pancreatic cancer,Cancer
Perforated duodenal ulcer,Bleeding
Perforation bowel,Hepatobiliary or abdominal
Peripheral arterial disease,Peripheral vascular disease
"Pleural effusion, left",Respiratory failure
"Pleural effusion, malignant",Cancer
"Pneumonia, bacterial",Pneumonia
Pneumonitis,Respiratory failure
Pneumothorax,Respiratory failure
Pontine hemorrhage,Ischemic and hemorrhagic stroke
Post-op bleeding,Bleeding
Primary squamous cell carcinom,Cancer
"Pulmonary edema, acute",Respiratory failure
Rectal cancer,Cancer
Retroperitoneal bleed,Bleeding
Rhabdomyolysis,Renal failure or other metabolic problem
Right-sided muscle weakness,Unspecified / Other
SBP (spontaneous bacterial per,Sepsis and septic shock
ST elevation (STEMI) myocardia,Acute coronary syndromes
ST elevation myocardial infarc,Acute coronary syndromes
SVT (supraventricular tachycar,Congestive heart failure or other cardiac problem not due to acute ischemia
Sepsis due to escherichia coli,Sepsis and septic shock
Sepsis with hypotension,Sepsis and septic shock
Septic arthritis,Sepsis and septic shock
Shortness of breath,Respiratory failure
Sinus pause,Congestive heart failure or other cardiac problem not due to acute ischemia
Small bowel obstruction due to,Hepatobiliary or abdominal
Small bowel perforation,Hepatobiliary or abdominal
Soft tissue infection,Sepsis and septic shock
Spinal stenosis,"Encephalopathy, neuropathy, or seizures"
Staphylococcus sepsis,Sepsis and septic shock
Status post subtotal thyroidec,Cancer
Streptococcal bacteremia,Sepsis and septic shock
Supraglottitis,Respiratory failure
TB (pulmonary tuberculosis),Pneumonia
TBI (traumatic brain injury),Trauma
Tachyarrhythmia,Congestive heart failure or other cardiac problem not due to acute ischemia
Thalamic hemorrhage,Ischemic and hemorrhagic stroke
Third degree heart block,Congestive heart failure or other cardiac problem not due to acute ischemia
Trauma,Trauma
Type 1 diabetes mellitus with,Renal failure or other metabolic problem
Vertigo,Unspecified / Other
AF (atrial fibrillation),Congestive heart failure or other cardiac problem not due to acute ischemia
AIDS,Sepsis and septic shock
ANCA-associated vasculitis,Unspecified / Other
ARF (acute renal failure),Renal failure or other metabolic problem
Abdominal aortic aneurysm diss,Peripheral vascular disease
Abdominal distension,Hepatobiliary or abdominal
Abnormal LFTs,Hepatobiliary or abdominal
Above knee amputation of right,Peripheral vascular disease
Abscess of abdominal cavity,Sepsis and septic shock
"Abscess of hip, right",Sepsis and septic shock
Abscess of neck,Sepsis and septic shock
Accidental cannabis overdose,Overdose / substance abuse
Acetaminophen overdose,Overdose / substance abuse
Acute GI bleeding,Bleeding
Acute ITP,Bleeding
Acute UTI,Sepsis and septic shock
Acute airway obstruction,Respiratory failure
Acute arterial ischemic stroke,Ischemic and hemorrhagic stroke
Acute biliary pancreatitis,Hepatobiliary or abdominal
Acute cholecystitis with chron,Hepatobiliary or abdominal
Acute coronary syndrome,Acute coronary syndromes
Acute decompensated heart fail,Congestive heart failure or other cardiac problem not due to acute ischemia
Acute kidney injury superimpos,Renal failure or other metabolic problem
Acute on chronic diastolic CHF,Congestive heart failure or other cardiac problem not due to acute ischemia
Acute on chronic kidney failur,Renal failure or other metabolic problem
Acute on chronic systolic CHF,Congestive heart failure or other cardiac problem not due to acute ischemia
Acute on chronic systolic cong,Congestive heart failure or other cardiac problem not due to acute ischemia
Acute osteomyelitis of spine,Sepsis and septic shock
Acute pyelonephritis,Sepsis and septic shock
Acute respiratory failure due,Respiratory failure
Acute sialoadenitis,Sepsis and septic shock
Acute spont intraparenchymal h,Ischemic and hemorrhagic stroke
Acute subdural hematoma,Ischemic and hemorrhagic stroke
Acute upper GI bleeding,Bleeding
Adenocarcinoma,Cancer
Adenocarcinoma of pancreas,Cancer
Adenovirus pneumonia,Pneumonia
Adrenal crisis,Sepsis and septic shock
Adrenal nodule,Cancer
Adverse effect of beta-blocker,Overdose / substance abuse
Airway compromise,Respiratory failure
Alcohol abuse,Overdose / substance abuse
Alcohol dependence,Overdose / substance abuse
Alcohol dependence with withdr,Overdose / substance abuse
Alcohol withdrawal delirium,Overdose / substance abuse
Alcohol withdrawal hallucinosi,Overdose / substance abuse
Alcohol withdrawal seizure,Overdose / substance abuse
Alcoholic hepatitis,Hepatobiliary or abdominal
Alcoholic hepatitis with ascit,Hepatobiliary or abdominal
Altered behavior,"Encephalopathy, neuropathy, or seizures"
Alzheimer's dementia,"Encephalopathy, neuropathy, or seizures"
Amputation of left lower extre,Peripheral vascular disease
Anal cancer,Cancer
Anaphylaxis,Respiratory failure
Aneurysm,Peripheral vascular disease
Aneurysm of mesenteric artery,Peripheral vascular disease
Anterior myocardial infarction,Acute coronary syndromes
Antihypertensive agent overdos,Overdose / substance abuse
Aorta aneurysm,Peripheral vascular disease
Aortic stenosis,Congestive heart failure or other cardiac problem not due to acute ischemia
Aortic valve endocarditis,Sepsis and septic shock
Aphasia,Ischemic and hemorrhagic stroke
Arthritis,Trauma
Ascending aortic dissection,Peripheral vascular disease
Aspiration into respiratory tr,Respiratory failure
Aspiration pneumonia due to fo,Pneumonia
Atrial arrhythmia,Congestive heart failure or other cardiac problem not due to acute ischemia
Atrial fibrillation and flutte,Congestive heart failure or other cardiac problem not due to acute ischemia
Atrial flutter,Congestive heart failure or other cardiac problem not due to acute ischemia
Atypical endometrial hyperplas,Cancer
Autoimmune encephalitis,"Encephalopathy, neuropathy, or seizures"
"Awareness alteration, transien","Encephalopathy, neuropathy, or seizures"
B-cell lymphoma of spleen,Cancer
BPH (benign prostatic hyperpla,Unspecified / Other
BRBPR (bright red blood per re,Bleeding
Baclofen overdose,Overdose / substance abuse
Bacteremia due to Escherichia,Sepsis and septic shock
Bacteremia due to Gram-negativ,Sepsis and septic shock
Bacterial meningitis,Sepsis and septic shock
Basal ganglia hemorrhage,Ischemic and hemorrhagic stroke
Bilateral leg edema,Congestive heart failure or other cardiac problem not due to acute ischemia
Bilateral pleural effusion,Respiratory failure
Bilateral vocal cord paralysis,Respiratory failure
Biliary sepsis,Sepsis and septic shock
Bladder outlet obstruction,Renal failure or other metabolic problem
Bladder tumor,Cancer
Bleeding,Bleeding
Blood loss,Bleeding
Bowel cancer,Cancer
Brain bleed,Ischemic and hemorrhagic stroke
Brain hypoxic injury,"Encephalopathy, neuropathy, or seizures"
Brain lesion,Cancer
Brain metastases,Cancer
Brain metastasis,Cancer
Brain stem stroke syndrome,Ischemic and hemorrhagic stroke
Brain tumor,Cancer
Brainstem death,"Encephalopathy, neuropathy, or seizures"
Brainstem stroke,Ischemic and hemorrhagic stroke
Breast mass,Cancer
Bright red blood per rectum,Bleeding
Bronchiectasis with acute exac,Respiratory failure
Bronchogenic carcinoma,Cancer
Burst fracture of lumbar verte,Trauma
"CAD (coronary artery disease),",Acute coronary syndromes
CAP (community acquired pneumo,Pneumonia
CHB (complete heart block),Congestive heart failure or other cardiac problem not due to acute ischemia
CML (chronic myeloid leukemia),Cancer
CMV colitis,Sepsis and septic shock
COPD with acute lower resp inf,Respiratory failure
COPD with asthma,Respiratory failure
"COPD with respiratory failure,",Respiratory failure
COVID-19 in immunocompromised,Pneumonia
COVID-19 vaccination declined,Unspecified / Other
COVID-19 virus infection,Pneumonia
Calciphylaxis,Renal failure or other metabolic problem
Cancer,Cancer
